Nested Sampling Global Log-Evidence           :   -0.133758112096261868E+03  +/-    0.251431319987934720E+00
Nested Importance Sampling Global Log-Evidence:   -0.134602015440066452E+03  +/-    0.304542758836126200E-01

Dim No.       Mean        Sigma
   1    0.266445573591260079E+02    0.204872209367460378E+02
   2    0.103380118299373924E+01    0.473205155335360353E-02
   3    0.877864290496177944E+02    0.922802074726036459E+01
   4    0.802833918508533359E+09    0.133487676821611691E+10
   5    0.254872682458353921E+03    0.288154538812817007E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.212735948486983872E+02
   2    0.103177795107628278E+01
   3    0.932945598509442107E+02
   4    0.115543757953520149E+09
   5    0.250717664768879786E+03

MAP Parameters
Dim No.        Parameter
   1    0.119165073354171174E+02
   2    0.103293563595042071E+01
   3    0.942143485940136287E+02
   4    0.266410841599350542E+09
   5    0.254529403834960590E+03
