Nested Sampling Global Log-Evidence           :   -0.144754202363612393E+03  +/-    0.256878572425468299E+00
Nested Importance Sampling Global Log-Evidence:   -0.145305776922461803E+03  +/-    0.347277553772263325E-01

Dim No.       Mean        Sigma
   1    0.108543682377871100E+02    0.904233514122538473E+01
   2    0.108193737407924084E+01    0.171608486214791314E-01
   3    0.353850412793905775E+02    0.111027150187593620E+02
   4    0.352402094106273115E+09    0.237368295971586674E+09
   5    0.276311084532956556E+03    0.311810522570396165E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.406967306250544425E+01
   2    0.108449191463492234E+01
   3    0.393151884562735958E+02
   4    0.463891116556629181E+09
   5    0.271969802106950510E+03

MAP Parameters
Dim No.        Parameter
   1    0.202517822622251273E+02
   2    0.108045354582551689E+01
   3    0.301956676986281032E+02
   4    0.597158331320914268E+09
   5    0.277046000737341785E+03
