Nested Sampling Global Log-Evidence           :   -0.189519372909828462E+03  +/-    0.291823578372884807E+00
Nested Importance Sampling Global Log-Evidence:   -0.190451315727710977E+03  +/-    0.224689285743617274E-01

Dim No.       Mean        Sigma
   1    0.168252991144230535E+02    0.132731307383999528E+02
   2    0.125921659719366374E+01    0.200959271751574194E-01
   3    0.763237282026906438E+01    0.445087815523096353E+01
   4    0.513408854979438066E+09    0.382813388134983778E+09
   5    0.362006545640699869E+03    0.354475566073528503E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.116129768290411910E+02
   2    0.112593553835076365E+01
   3    0.127705371654989221E+02
   4    0.117983513839009643E+09
   5    0.352813829338354310E+03

MAP Parameters
Dim No.        Parameter
   1    0.116129768290411910E+02
   2    0.112593553835076365E+01
   3    0.127705371654989221E+02
   4    0.117983513839009643E+09
   5    0.352813829338354310E+03
