    0.195666788896976215E+03    0.168129606637990592E+01    0.135371490487113366E+02    0.606938915772156641E+08    0.207419336865119817E+03   -0.103709668432559909E+03
    0.292770298714950741E+03    0.168396219440074835E+01    0.330993639978738230E+02    0.335502179420791790E+08    0.207343846798171342E+03   -0.103671923399085671E+03
    0.285997098313576657E+03    0.168395165064545393E+01    0.455641383382724143E+02    0.313539469113690779E+08    0.205940182594770704E+03   -0.102970091297385352E+03
    0.249126366115014434E+03    0.168611167248402727E+01    0.467560045547596292E+01    0.295219217127320990E+08    0.205284331417573753E+03   -0.102642165708786877E+03
    0.200226773747712485E+03    0.167937147581984303E+01    0.101403277702202139E+02    0.443662225373012573E+08    0.204315359101715529E+03   -0.102157679550857765E+03
    0.269972082061131630E+03    0.168165774895837306E+01    0.757464519679117103E+02    0.164150907524204291E+08    0.204154679673327678E+03   -0.102077339836663839E+03
    0.261773725412970919E+03    0.168541851215404970E+01    0.902132648349888200E+01    0.142269884945368562E+08    0.203765285775659777E+03   -0.101882642887829888E+03
    0.199243865630225685E+03    0.168071632812083549E+01    0.268173227874125963E+02    0.459902815174938217E+08    0.202930411211064893E+03   -0.101465205605532446E+03
    0.246485984561219510E+03    0.168481480589799548E+01    0.544668667446020862E+02    0.114829303047566302E+08    0.202798677962016427E+03   -0.101399338981008214E+03
    0.298114457846794664E+03    0.168349278185432660E+01    0.406919193329624207E+02    0.115926149980618451E+08    0.202577827818026577E+03   -0.101288913909013289E+03
    0.222600445985727589E+03    0.168562395626532213E+01    0.863132454948370409E+01    0.406600104597888142E+08    0.202475948730340150E+03   -0.101237974365170075E+03
    0.227238387104606574E+03    0.168315497730812624E+01    0.555899363051520865E+02    0.225969203188977093E+08    0.202316980327089709E+03   -0.101158490163544855E+03
    0.202015267150853248E+03    0.168435006999132231E+01    0.162942146198176196E+02    0.447957125971439630E+08    0.202240138725342888E+03   -0.101120069362671444E+03
    0.242409649864974995E+03    0.168027648580368028E+01    0.271257076702694597E+02    0.492888057193071395E+08    0.202093998682536807E+03   -0.101046999341268403E+03
    0.221922627797053735E+03    0.168142392656250905E+01    0.202687886604525218E+02    0.598542626165766194E+08    0.201995015075541687E+03   -0.100997507537770844E+03
    0.248735455071867250E+03    0.168253918435766359E+01    0.662145227546858166E+02    0.166786939137290549E+08    0.201940469843343664E+03   -0.100970234921671832E+03
    0.290676566164128360E+03    0.168055869196755969E+01    0.156004012577908249E+02    0.111569129648295976E+08    0.201937888291722032E+03   -0.100968944145861016E+03
    0.280591175081618871E+03    0.168374958674407882E+01    0.532050125095365445E+02    0.152371339047705606E+08    0.201915685213526558E+03   -0.100957842606763279E+03
    0.244968605717109256E+03    0.168203335914106966E+01    0.728411086463848534E+02    0.363907950786140040E+08    0.201633462833941053E+03   -0.100816731416970526E+03
    0.236104018845197203E+03    0.167965516000911252E+01    0.347961761343218825E+02    0.137548261796116270E+08    0.201111666872724243E+03   -0.100555833436362121E+03
    0.229225075854786894E+03    0.168057494741492497E+01    0.580439002211359281E+02    0.126276720551277027E+08    0.200850486816801151E+03   -0.100425243408400576E+03
