Nested Sampling Global Log-Evidence           :   -0.144132532147604223E+03  +/-    0.241815828236961433E+00
Nested Importance Sampling Global Log-Evidence:   -0.144695277254086648E+03  +/-    0.159874278855325874E+00

Dim No.       Mean        Sigma
   1    0.798000775363993569E+02    0.275273831732469318E+02
   2    0.167853988553413536E+01    0.795287586937540140E-02
   3    0.174279460379094360E+02    0.172107162050368636E+02
   4    0.118241383078555405E+09    0.533889060836865827E+08
   5    0.276570085338017179E+03    0.324741731579231940E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.771399911076852618E+02
   2    0.168275212669612495E+01
   3    0.280290188844514265E+01
   4    0.105688530111355707E+09
   5    0.271833958844020060E+03

MAP Parameters
Dim No.        Parameter
   1    0.771399911076852618E+02
   2    0.168275212669612495E+01
   3    0.280290188844514265E+01
   4    0.105688530111355707E+09
   5    0.271833958844020060E+03
