Nested Sampling Global Log-Evidence           :   -0.297003314179315225E+02  +/-    0.174666538325609411E+00
Nested Importance Sampling Global Log-Evidence:   -0.306869764419371940E+02  +/-    0.273055740661353914E-01

Dim No.       Mean        Sigma
   1    0.451180982633053844E+02    0.357537001226945605E+02
   2    0.164887806744213350E+01    0.397104627097029997E-01
   3    0.502631408984489738E+02    0.282541094824211854E+02
   4    0.966571585255384147E+08    0.219013399673537612E+09
   5    0.532989829137331839E+02    0.211520882282077016E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.459701989009526724E+01
   2    0.164183399439996802E+01
   3    0.709971195575167684E+02
   4    0.195520739304495268E+08
   5    0.507358796589771686E+02

MAP Parameters
Dim No.        Parameter
   1    0.782947527242726835E+02
   2    0.165155086334317147E+01
   3    0.565322354535585561E+02
   4    0.202440888587793484E+08
   5    0.529088374232798415E+02
