Nested Sampling Global Log-Evidence           :   -0.371062786605844011E+02  +/-    0.246062458922721577E+00
Nested Importance Sampling Global Log-Evidence:   -0.376978131219673642E+02  +/-    0.247158519759857753E-01

Dim No.       Mean        Sigma
   1    0.824955486889131464E+02    0.234659455007300259E+02
   2    0.115606414541904368E+01    0.299266139307878239E-02
   3    0.904816652677012598E+02    0.743983232787567506E+01
   4    0.550887613473145962E+08    0.414447923185960054E+08
   5    0.621032105829499272E+02    0.303490956779447973E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.813387157992478933E+02
   2    0.115678509101421723E+01
   3    0.995925053575637520E+02
   4    0.544548604984771237E+08
   5    0.575839302729999076E+02

MAP Parameters
Dim No.        Parameter
   1    0.600925806418802679E+02
   2    0.115944368877547310E+01
   3    0.864083502868713111E+02
   4    0.103455088298341095E+09
   5    0.625605920967815337E+02
